page_title	pl_title
キリシタン大名	六角義賢
キリシタン大名	内藤如安
キリシタン大名	大友義鎮
キリシタン大名	大村純忠
キリシタン大名	小西行長
キリシタン大名	戦国大名
キリシタン大名	有馬晴信
キリシタン大名	畠山高政
キリシタン大名	筒井定次
キリシタン大名	蒲生氏郷
キリシタン大名	豊臣秀吉
キリシタン大名	高山右近
キリシタン大名	黒田孝高
サイ所元常	宇喜多忠家
サイ所元常	宇喜多直家
サイ所元常	岡剛介
サイ所元常	松田氏
サイ所元常	浦上氏
サイ所元常	長船貞親
一宮宗是	武田信玄
一宮随波斎	今川氏真
一宮随波斎	松永久秀
一宮随波斎	武田信玄
一条信龍	下条信氏
一条信龍	北条氏直
一条信龍	大井信為
一条信龍	徳川家康
一条信龍	松尾信是
一条信龍	松永久秀
一条信龍	武田信友
一条信龍	武田信堯
一条信龍	武田信玄
一条信龍	武田信虎
一条信龍	武田信貞
一条信龍	武田信顕
一条信龍	武田勝頼
一条信龍	河窪信実
一条信龍	禰津元直
一条信龍	穴山信友
一条信龍	織田信長
一条兼定	キリシタン大名
一条兼定	一条房冬
一条兼定	一条房基
一条兼定	一条房家
一条兼定	一条教房
一条兼定	伊東義益
一条兼定	加久見左衛門
一条兼定	土居宗珊
一条兼定	大友義鎮
一条兼定	大友義鑑
一条兼定	大塚八木右衛門
一条兼定	宇都宮豊綱
一条兼定	安芸国虎
一条兼定	戦国大名
一条兼定	毛利氏
一条兼定	長宗我部元親
一条房冬	一条兼定
一条房冬	一条房基
一条房冬	一条房家
一条房冬	一条教房
一条房冬	大内晴持
一条房冬	大内義興
一条房冬	戦国大名
一条房冬	敷地藤安
一条房基	一条兼定
一条房基	一条房冬
一条房基	一条房家
一条房基	一条教房
一条房基	伊東義益
一条房基	大内晴持
一条房基	大友義鑑
一条房基	安芸国虎
一条房基	本山茂宗
一条房基	長宗我部国親
一条房家	一条兼定
一条房家	一条房冬
一条房家	一条房基
一条房家	一条教房
一条房家	吉良親貞
一条房家	本山氏
一条房家	長宗我部元親
一条房家	長宗我部兼序
一条房家	長宗我部国親
一条教房	一条兼定
一条教房	一条房冬
一条教房	一条房基
一条教房	一条房家
一条教房	豊臣秀吉
一条教房	豊臣秀次
一柳可遊	加藤光泰
一柳可遊	徳川家康
一柳可遊	斎藤道三
一柳可遊	本多忠勝
一柳可遊	豊臣秀吉
一柳可遊	豊臣秀次
一柳直末	一柳直盛
一柳直末	一柳直高
一柳直末	中村一氏
一柳直末	堀尾吉晴
一柳直末	小川祐忠
一柳直末	山内一豊
一柳直末	徳永昌重
一柳直末	松野重元
一柳直末	田中吉政
一柳直末	織田信雄
一柳直末	豊臣秀吉
一柳直末	豊臣秀次
一柳直末	間宮康俊
一柳直末	黒田孝高
一柳直末	黒田職隆
一柳直末	黒田長政
一柳直盛	一柳直末
一柳直盛	一柳直高
一柳直盛	徳川家康
一柳直盛	徳川秀忠
一柳直盛	本多忠朝
一柳直盛	池田輝政
一柳直盛	浅野幸長
一柳直盛	豊臣秀吉
一柳直盛	豊臣秀次
一柳直盛	豊臣秀頼
一柳直高	一柳直末
一柳直高	一柳直盛
一柳直高	小川祐忠
一柳直高	斎藤義龍
一柳直高	織田信長
一柳直高	豊臣秀吉
一栗放牛	一栗高春
一栗高春	一栗放牛
一栗高春	伊達政宗
一栗高春	新関久正
一栗高春	最上義光
一栗高春	清水義親
一瀬栄正	中浦純吉
一瀬栄正	大村純忠
一瀬栄正	深堀純賢
一瀬栄正	長崎純景
一町田信清	一町田森清
一町田信清	津軽為信
一町田信清	滝本重行
一町田森清	一町田信清
一町田森清	津軽為信
一色晴具	一色藤長
一色氏久	一色氏久
一色氏久	一色直朝
一色氏久	徳川家康
一色氏久	豊臣秀吉
一色氏久	足利国朝
一色氏久	足利義氏_(古河公方)
一色氏久	足利頼純
一色直朝	一色氏久
一色直朝	一色義直_(幸手一色氏)
一色直朝	北条氏照
一色直朝	徳川家康
一色直朝	簗田高助
一色直朝	足利晴氏
一色直朝	足利義氏_(古河公方)
一色義喬	一色藤長
一色義喬	徳川家康
一色義喬	永山義在
一色義喬	織田信長
一色義喬	足利義昭
一色義定	一色義幸
一色義定	一色義有
一色義定	一色義清_(左京大夫)
一色義定	一色義清_(越前守)
一色義定	一色義道
一色義定	山名堯熙
一色義定	明智光秀
一色義定	松井康之
一色義定	細川幽斎
一色義定	織田信長
一色義定	豊臣秀吉
一色義幸	一色義定
一色義幸	一色義有
一色義幸	一色義清_(左京大夫)
一色義幸	一色義清_(越前守)
一色義幸	一色義道
一色義幸	武田元光
一色義有	一色義定
一色義有	一色義幸
一色義有	一色義清_(左京大夫)
一色義有	一色義清_(越前守)
一色義有	一色義道
一色義有	三好之長
一色義有	山名祐豊
一色義有	武田元信
一色義有	細川政元
一色義有	細川政賢
一色義有	細川澄之
一色義有	細川澄元
一色義有	赤沢朝経
一色義有	香西元長
一色義清	一色義清_(左京大夫)
一色義清	一色義清_(越前守)
一色義清_(左京大夫)	一色義定
一色義清_(左京大夫)	一色義幸
一色義清_(左京大夫)	一色義有
一色義清_(左京大夫)	一色義清_(越前守)
一色義清_(左京大夫)	一色義道
一色義清_(左京大夫)	土岐頼芸
一色義清_(左京大夫)	斎藤義龍
一色義清_(左京大夫)	斎藤道三
一色義清_(越前守)	一色義定
一色義清_(越前守)	一色義幸
一色義清_(越前守)	一色義有
一色義清_(越前守)	一色義清_(左京大夫)
一色義清_(越前守)	一色義道
一色義清_(越前守)	細川幽斎
一色義直_(幸手一色氏)	一色氏久
一色義直_(幸手一色氏)	一色直朝
一色義直_(幸手一色氏)	北条氏照
一色義直_(幸手一色氏)	徳川家康
一色義直_(幸手一色氏)	簗田高助
一色義直_(幸手一色氏)	足利義氏_(古河公方)
一色義道	一色義定
一色義道	一色義幸
一色義道	一色義有
一色義道	一色義清_(左京大夫)
一色義道	一色義清_(越前守)
一色義道	明智光秀
一色義道	毛利輝元
一色義道	細川幽斎
一色義道	織田信長
一色義道	足利義昭
一色藤長	一色晴具
一色藤長	一色義喬
一色藤長	細川幽斎
一色藤長	細川輝経
一色藤長	織田信長
一色藤長	足利義昭
一萬田鎮実	一萬田鑑実
一萬田鎮実	大友義統
一萬田鎮実	大友義鎮
一萬田鎮実	毛利氏
一萬田鎮実	高橋鑑種
一萬田鑑実	一萬田鎮実
一萬田鑑実	乃美宗勝
一萬田鑑実	大友義統
一萬田鑑実	大友義鎮
一萬田鑑実	大友義鑑
一萬田鑑実	朽網鑑康
一萬田鑑実	秋月文種
一萬田鑑実	菊池義武
一萬田鑑実	高橋鑑種
一迫隆真	伊達政宗
一迫隆真	大崎義隆
一迫隆真	氏家吉継
七井勝忠	宇都宮国綱
七井勝忠	益子勝宗
七井勝忠	益子勝家
七井勝忠	益子家宗
七井勝忠	結城氏
七戸家国	九戸政実
七戸家国	南部信直
七戸家国	南部晴政
七戸家国	南部晴継
七条兼仲	三好氏
七条兼仲	十河存保
七条兼仲	長宗我部元親
七里頼周	下間頼廉
七里頼周	下間頼純
七里頼周	前波吉継
七里頼周	富田長繁
七里頼周	朝倉景鏡
七里頼周	織田信長
七里頼周	魚住景固
万見重元	堀秀政
万見重元	大津長昌
万見重元	太田資正
万見重元	明智光秀
万見重元	松井友閑
万見重元	津田信澄
万見重元	矢部家定
万見重元	織田信長
万見重元	荒木村重
万見重元	菅屋長頼
万見重元	長谷川秀一
三上経実	三上輝房
三上経実	山名誠通
三上輝房	三上経実
三上輝房	大舘尚氏
三井弥一郎	井伊直政
三井弥一郎	徳川家康
三井弥一郎	森長可
三井弥一郎	武田信玄
三井弥一郎	池田恒興
三井弥一郎	河尻秀隆
三井弥一郎	織田信長
三井弥一郎	豊臣秀吉
三刀屋久扶	京極持清
三刀屋久扶	吉川元春
三刀屋久扶	大内義隆
三刀屋久扶	宍道隆慶
三刀屋久扶	小早川隆景
三刀屋久扶	尼子勝久
三刀屋久扶	尼子晴久
三刀屋久扶	山中幸盛
三刀屋久扶	徳川家康
三刀屋久扶	本城常光
三刀屋久扶	毛利元就
三刀屋久扶	毛利氏
三刀屋久扶	毛利輝元
三刀屋久扶	立原久綱
三刀屋久扶	米原綱寛
三刀屋久扶	赤穴盛清
三刀屋久扶	陶晴賢
三刀屋宗忠	尼子勝久
三刀屋宗忠	尼子晴久
三刀屋宗忠	尼子義久
三刀屋宗忠	毛利元就
三刀屋宗忠	毛利氏
三原紹心	立花直次
三原紹心	筑後十五城
三原紹心	高橋紹運
三好一秀	三好元長
三好一秀	三好氏
三好一秀	三好長秀
三好一秀	木沢長政
